collection_id	collection_label	collection_display_order	pathway_id	pathway_label	pathway_display_order	selected_direction	selected_rank_within_direction	pseudotime	standardized_activity
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.344	1.40120804535179
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.346	1.40830471834506
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.348	1.4150278588912
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.35	1.42137141507963
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.352	1.42732933499981
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.354	1.43289556674118
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.356	1.43806405839318
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.358	1.44282875804525
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.36	1.44718361378685
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.362	1.45112257370741
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.364	1.45463958589638
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.366	1.45772859844321
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.368	1.46038355943734
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.37	1.46259841696821
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.372	1.46436711912527
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.374	1.46568361399796
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.376	1.46654184967573
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.378	1.46693577424802
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.38	1.46685933580427
H	Hallmark	1	HALLMARK_KRAS_SIGNALING_DN	Kras Signaling Dn	1	positive	1	0.382	1.46630648243394
