bootstrap_replicate	corrected_energy_difference_2N_minus_4N	centered_bootstrap_error
513	0.3306344240388396	0.2785877581982366
514	-0.1939381667301168	-0.2459848325707198
515	-0.08514087411734025	-0.13718753995794325
516	-0.5043430564665092	-0.5563897223071123
517	0.3308716149094562	0.27882494906885325
518	0.05335289321044802	0.0013062273698450297
519	-0.372270630066927	-0.42431729590753
520	-0.1319420465915615	-0.1839887124321645
521	0.1690699192105946	0.11702325336999161
522	-0.08198468082008417	-0.13403134666068717
523	-0.3116490697393907	-0.3636957355799937
524	-0.281171958811103	-0.333218624651706
525	0.814692900237671	0.762646234397068
526	-0.11803613814455911	-0.1700828039851621
527	0.5488659878719611	0.4968193220313581
528	-0.6499640693343262	-0.7020107351749292
529	-0.20826000170295964	-0.26030666754356263
530	-0.4940081607196792	-0.5460548265602821
531	0.7908006862059582	0.7387540203653552
532	-0.26837683355425773	-0.3204234993948607
533	-0.3454775723813657	-0.3975242382219687
534	0.5798406961843195	0.5277940303437165
535	-0.1548255975268374	-0.20687226336744038
536	-0.10531862109558125	-0.15736528693618423
537	0.385437536113586	0.33339087027298303
538	0.18310155682572	0.131054890985117
539	-0.16528367361086835	-0.21733033945147134
540	0.27389331181671095	0.22184664597610795
541	0.16947639497992995	0.11742972913932695
542	0.33638840838444745	0.2843417425438445
543	0.1107307455338512	0.058684079693248216
544	0.06607932071345674	0.014032654872853746
545	-0.225763534645258	-0.27781020048586097
546	-0.2617071775379613	-0.31375384337856427
547	0.6983999255124099	0.6463532596718069
548	0.5919858839128845	0.5399392180722815
549	-0.10604343469913387	-0.15809010053973685
550	-0.5369422804386725	-0.5889889462792756
551	-0.27161032192300494	-0.3236569877636079
552	0.22872722645666252	0.17668056061605952
553	-0.25658328276341624	-0.3086299486040192
554	0.42937345260687604	0.37732678676627307
555	-0.2234929939312113	-0.27553965977181427
556	-0.044799880729534475	-0.09684654657013747
557	-0.06819429788237813	-0.12024096372298113
558	-0.12773056669303104	-0.17977723253363403
559	-0.28685811560602303	-0.338904781446626
560	-0.5600021006569176	-0.6120487664975206
561	-0.45735696178931345	-0.5094036276299164
562	-0.3432687949656195	-0.3953154608062225
563	-0.1901715776892154	-0.24221824352981838
564	-0.24199087604248196	-0.29403754188308495
565	-0.4746203538424146	-0.5266670196830175
566	1.016922980968974	0.9648763151283709
567	-0.22165959288575082	-0.2737062587263538
568	0.0325274783021358	-0.019519187538467188
569	1.0487539142941513	0.9967072484535483
570	-0.04227710762148004	-0.09432377346208304
571	-0.023712635029708884	-0.07575930087031188
572	-0.19009641883703346	-0.24214308467763646
573	0.2055840018206575	0.1535373359800545
574	0.11190261517943653	0.05985594933883354
575	-0.1400456538941317	-0.1920923197347347
576	0.032148424924615907	-0.019898240915987082
577	0.37992412555905297	0.32787745971845
578	-0.07680469601887839	-0.12885136185948137
579	0.3377866410613103	0.2857399752207073
580	0.41477065515423633	0.36272398931363337
581	-0.37860005851548567	-0.43064672435608864
