Feature_ID,Metabolite,log2FC_2N_G_vs_2N_C,p_2N_G_vs_2N_C,log2FC_4N_G_vs_4N_C,p_4N_G_vs_4N_C,Differential_response_2N_minus_4N,p_interaction,Order_category,Response_category,cat_order
D-Mannose 6-phosphate | row_125,D-Mannose 6-phosphate,0.21642673863176043,0.4307252169098782,0.061643537220970046,0.6558336683247481,0.15478320141079038,0.5914032991093299,No strong response,No strong response,99
Ophthalmic acid | row_126,Ophthalmic acid,0.18670347438783708,0.550221731173603,0.40036623161972784,0.11770031742232688,-0.21366275723189077,0.5637887244388193,No strong response,No strong response,99
Biotin | row_127,Biotin,-0.5703227755039286,0.0029040131964521458,-0.64296235262184,0.0003776136614816418,0.07263957711791136,0.6281611379009929,No strong response,No strong response,99
NADPH | row_128,NADPH,-0.6239889088497925,0.005755268887374197,-0.6512216960581831,0.043580705912244215,0.02723278720839062,0.920335437243813,No strong response,No strong response,99
5-Hydroxyhexanoic acid,5-Hydroxyhexanoic acid,-0.01792135086040858,0.899002746455401,0.10709839903841356,0.26317760732030687,-0.12501974989882214,0.4406663126498623,No strong response,No strong response,99
5'-Methylthioadenosine | row_130,5'-Methylthioadenosine,-0.3811885922754037,0.0006526375299201607,-0.17786503222851024,0.13660442638776688,-0.20332356004689345,0.08587665649763064,No strong response,No strong response,99
S-Hexyl-Glutathione,S-Hexyl-Glutathione,-0.2351370238956818,0.5973012405728894,0.04429462049242261,0.8956433500755907,-0.2794316443881044,0.6082727467334231,No strong response,No strong response,99
Formyl-l-methionyl peptide | row_132,Formyl-l-methionyl peptide,-0.3433900550078697,0.0031824908803089846,-0.11687680269990963,0.03734207820887897,-0.22651325230796004,0.014021123967929984,No strong response,No strong response,99
L-Anserine | row_133,L-Anserine,-0.2813055640305997,0.10566998852067382,0.20953572677751708,0.10110649115344802,-0.4908412908081168,0.016191620130005104,No strong response,No strong response,99
Alpha-Ketoglutaric acid;Oxoglutaric acid,Alpha-Ketoglutaric acid;Oxoglutaric acid,-0.777003081533362,0.006524230403032625,-0.36049621974620294,0.030264408821918602,-0.416506861787159,0.07167031178709732,No strong response,No strong response,99
Glycerol,Glycerol,-0.01813891494412445,0.9209044626909502,-0.20713320507725186,0.16511441485869574,0.1889942901331274,0.39410398429557403,No strong response,No strong response,99
