cancer_type	drug	metric	n_raw	pearson_r_raw	pearson_p_raw	pearson_fdr_raw	spearman_rho_raw	spearman_p_raw	spearman_fdr_raw	n_normalized	pearson_r_normalized	pearson_p_normalized	pearson_fdr_normalized	spearman_rho_normalized	spearman_p_normalized	spearman_fdr_normalized	n_delta	pearson_r_delta	spearman_rho_delta	delta_status
LIHC	Afuresertib	Z_SCORE	12	-0.268966377528056	0.397920763952453	0.992103240001164	-0.272727272727273	0.391096770941896	0.983877963405878	12	-0.268966377528056	0.397920763952453	0.992103240001164	-0.272727272727273	0.391096770941896	0.983877963405878	0	0	0	unchanged
LIHC	AGI-5198	Z_SCORE	12	0.06628024832771	0.837840096015253	0.992103240001164	0.223776223776224	0.484451661455399	0.983877963405878	12	0.06628024832771	0.837840096015253	0.992103240001164	0.223776223776224	0.484451661455399	0.983877963405878	0	0	0	unchanged
LIHC	AGI-6780	Z_SCORE	12	0.302362804649389	0.339463569976518	0.992103240001164	0.13986013986014	0.664633161792668	0.983877963405878	12	0.302362804649389	0.339463569976518	0.992103240001164	0.13986013986014	0.664633161792668	0.983877963405878	0	0	0	unchanged
LIHC	AGK2	Z_SCORE	12	0.192920090454024	0.548020237672146	0.992103240001164	0.0839160839160839	0.795414501853898	0.983877963405878	12	0.192920090454024	0.548020237672146	0.992103240001164	0.0839160839160839	0.795414501853898	0.983877963405878	0	0	0	unchanged
LIHC	Alisertib	Z_SCORE	12	0.152937471277341	0.635123740283021	0.992103240001164	0.27972027972028	0.378568669662303	0.983877963405878	12	0.152937471277341	0.635123740283021	0.992103240001164	0.27972027972028	0.378568669662303	0.983877963405878	0	0	0	unchanged
LIHC	Alpelisib	Z_SCORE	12	-0.494192787545464	0.102446728037005	0.992103240001164	-0.762237762237762	0.00395044897254265	0.531335386806987	12	-0.494192787545464	0.102446728037005	0.992103240001164	-0.762237762237762	0.00395044897254265	0.531335386806987	0	0	0	unchanged
LIHC	alpha-lipoic acid	Z_SCORE	11	-0.141200348046834	0.678789221406434	0.992103240001164	0.136363636363636	0.689309020586362	0.983877963405878	11	-0.141200348046834	0.678789221406434	0.992103240001164	0.136363636363636	0.689309020586362	0.983877963405878	0	0	0	unchanged
LIHC	AMG-319	Z_SCORE	12	-0.614144588150009	0.0336268570875473	0.992103240001164	-0.0699300699300699	0.829023640531308	0.983877963405878	12	-0.614144588150009	0.0336268570875473	0.992103240001164	-0.0699300699300699	0.829023640531308	0.983877963405878	0	0	0	unchanged
LIHC	ascorbate (vitamin C)	Z_SCORE	11	-0.464566759072926	0.149974717258706	0.992103240001164	-0.0727272727272727	0.831716405381337	0.983877963405878	11	-0.464566759072926	0.149974717258706	0.992103240001164	-0.0727272727272727	0.831716405381337	0.983877963405878	0	0	0	unchanged
LIHC	AT13148	Z_SCORE	12	-0.128833688003297	0.689860970209025	0.992103240001164	-0.286713286713287	0.366251460583582	0.983877963405878	12	-0.128833688003297	0.689860970209025	0.992103240001164	-0.286713286713287	0.366251460583582	0.983877963405878	0	0	0	unchanged
