Feature_ID,Metabolite,comparison,group_a,group_b,log2FC,fold_change,p_value,FDR_BH
Ursodeoxycholic acid;Chenodeoxycholic acid (CDCA);Deoxycholate;Isoursodeoxycholic acid,Ursodeoxycholic acid;Chenodeoxycholic acid (CDCA);Deoxycholate;Isoursodeoxycholic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3274847367013862,0.7969246697421685,0.02301115360451974,0.07352585204796638
Xanthosine 5'-monophosphate | row_119,Xanthosine 5'-monophosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.16773404784096613,0.8902398284883731,0.38939851181198976,0.5470121951644618
"NG,NG'-Dimethyl-L-arginine","NG,NG'-Dimethyl-L-arginine",Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.025016481299921622,1.0174913158230716,0.8311231099410507,0.9017779710544044
L-Anserine | row_121,L-Anserine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2382345224068132,0.8477821392000235,0.35061804096439253,0.5092052779544408
"N6,N6,N6-Trimethyl-L-lysine","N6,N6,N6-Trimethyl-L-lysine",Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.4119933570396519,0.7515841997312664,0.05706697925154663,0.13956276791051817
Creatine | row_123,Creatine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3757943389186522,0.7706809637187759,0.0037475244153953938,0.02563523947922646
Dihomo-gamma-Linolenic acid,Dihomo-gamma-Linolenic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.7170520037409354,1.6438196270491072,0.14049400421584718,0.26419589637402335
D-Mannose 6-phosphate | row_125,D-Mannose 6-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.21642673863176043,1.1618523485228638,0.4307252169098782,0.5892820358882971
Ophthalmic acid | row_126,Ophthalmic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.18670347438783708,1.1381600722867071,0.550221731173603,0.7038066588453674
Biotin | row_127,Biotin,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.5703227755039286,0.6734660963798326,0.0029040131964521458,0.022470397192219885
NADPH | row_128,NADPH,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6239889088497925,0.6488743718664854,0.005755268887374197,0.030974599089099136
5-Hydroxyhexanoic acid,5-Hydroxyhexanoic acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.01792135086040858,0.9876547023979397,0.899002746455401,0.936709263414899
5'-Methylthioadenosine | row_130,5'-Methylthioadenosine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3811885922754037,0.7678047591601891,0.0006526375299201607,0.009159224504768512
S-Hexyl-Glutathione,S-Hexyl-Glutathione,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2351370238956818,0.8496043018210836,0.5973012405728894,0.7284914355307591
Formyl-l-methionyl peptide | row_132,Formyl-l-methionyl peptide,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.3433900550078697,0.7881870466386327,0.0031824908803089846,0.022757747925201154
L-Anserine | row_133,L-Anserine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2813055640305997,0.8228460473319414,0.10566998852067382,0.21780015101204386
Alpha-Ketoglutaric acid;Oxoglutaric acid,Alpha-Ketoglutaric acid;Oxoglutaric acid,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.777003081533362,0.5835778044112954,0.006524230403032625,0.032989495133302536
Glycerol,Glycerol,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.01813891494412445,0.9875057714161024,0.9209044626909502,0.9511310861928414
Glyceraldehyde 3-phosphate | row_136,Glyceraldehyde 3-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.23517102694640712,0.8495842776323885,0.024076877080608836,0.07627037571843873
Methylcysteine | row_137,Methylcysteine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.8764199709929628,0.5447174648393772,0.004167964128789831,0.026342365763929846
Trans-4-Hydroxyl-L-Proline,Trans-4-Hydroxyl-L-Proline,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.2863047105156511,0.8199997013961388,0.026845685959763617,0.08228028424031446
NADPH | row_139,NADPH,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.6138219366709663,0.6534632750825262,0.006067159220868574,0.03181887946944408
Adenosine 5'-diphosphate | row_140,Adenosine 5'-diphosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.7524702993123107,0.593586300288899,0.03562001985514143,0.10123376569571693
L-Alanine;D-Alanine | row_141,L-Alanine;D-Alanine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.28695033709917084,0.8196328219460112,0.00837801326369203,0.03915269564814493
Inosine 5'-phosphate | row_142,Inosine 5'-phosphate,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,0.36663303854620466,1.2893402545518942,0.6649954043407784,0.7807906240021081
N-Formylphenylalanine | row_143,N-Formylphenylalanine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.46114056132360304,0.7264117472699988,1.9471209152084575e-05,0.0021481822668074084
Thymidine,Thymidine,Gem_response_2N_G_vs_2N_C,2N_C,2N_G,-0.05924679081226003,0.9597650673222858,0.6199752949156345,0.7496903635430877
