cancer	drug	correlation
UNCLASSIFIED	SL0101	0.297366929097247
UNCLASSIFIED	Bicalutamide	0.29822715609415
UNCLASSIFIED	GSK2110183B	0.299280089511952
UNCLASSIFIED	Piperlongumine	0.302972249230507
UNCLASSIFIED	Elesclomol	0.358640813514835
UNCLASSIFIED	Nutlin-3a (-)	0.359924480695574
SKCM	765771	-0.643796594374324
SKCM	Dihydrorotenone	-0.642420500554747
SKCM	Entinostat	-0.595970232758396
SKCM	XAV939	-0.549290945654123
SKCM	CPI-637	-0.540384618734589
SKCM	TAF1_5496	-0.506167991174446
SKCM	ascorbate (vitamin C)	-0.498662090978891
SKCM	N25720-51-A1	-0.495200314789745
SKCM	GSK1904529A	-0.488745849846114
SKCM	Temozolomide	-0.488358475195544
SKCM	IWP-2	-0.472607799336371
SKCM	Alpelisib	-0.4505377897682
SKCM	BMS-345541	-0.445110948605827
SKCM	EPZ5676	-0.441409377636282
SKCM	IOX2	-0.44023399925526
SKCM	Entospletinib	-0.43934403820018
SKCM	729189	-0.436402337206838
SKCM	PAK_5339	-0.435987266351488
SKCM	Remodelin	-0.432970016955344
SKCM	LCL161	-0.430478462144493
SKCM	AZ960	-0.42035172617491
SKCM	720427	-0.420089564055801
