cancer_type	direction	metric	drug	correlation_value	group	category_id
allcancers	low_ploidy_sensitive	Z_SCORE	PIPERLONGUMINE	0.0974738008495945	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	AXITINIB	0.0977897980159814	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	667880	0.0978787835071633	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	EPIRUBICIN	0.0982112907098179	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	IRINOTECAN	0.0984632879353862	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	TW 37	0.0987140804130999	Apoptosis regulation	APOPTOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	WZ4003	0.0991359039352096	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	BIBR-1532	0.0997541682289486	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	PODOPHYLLOTOXIN BROMIDE	0.100233843362098	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	DACTINOMYCIN	0.102218228934534	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	MOTESANIB	0.102334668582249	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	TENIPOSIDE	0.103344669104218	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	TALAZOPARIB	0.103774593117443	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	BDF00022089A	0.104809124529182	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	SL0101	0.105139226561369	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	RUCAPARIB	0.10602779087905	Genome integrity and DNA damage	GENOME_INTEGRITY_DNA_DAMAGE
allcancers	low_ploidy_sensitive	Z_SCORE	LMB_AB3	0.106285978806697	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	GSK2276186C	0.106428313062324	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	IRAK4_4710	0.107155031569573	Signaling	SIGNALING
allcancers	low_ploidy_sensitive	Z_SCORE	MYCOPHENOLIC ACID	0.107356722682173	Other reviewed	OTHER_REVIEWED
allcancers	low_ploidy_sensitive	Z_SCORE	BI-2536	0.107526139157196	Cell cycle and mitosis	CELL_CYCLE_MITOSIS
allcancers	low_ploidy_sensitive	Z_SCORE	GSK2606414	0.107706876011348	Metabolism	METABOLISM
allcancers	low_ploidy_sensitive	Z_SCORE	CPI-637	0.107768688195368	Epigenetics and transcription	EPIGENETICS_TRANSCRIPTION
allcancers	low_ploidy_sensitive	Z_SCORE	ZOLEDRONATE	0.1084564811467	Other reviewed	OTHER_REVIEWED
